epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.156,1.31,3.16355,1.20265,0.00321,0.8125,0.52909,0.38112,1.00056,3.89143,0.90219,0.00044,0.00044,0.00044
2,200.644,1.2637,2.05821,1.12698,1,0.10921,0.13788,0.09892,1.02538,3.8466,0.95099,0.00088218,0.00088218,0.00088218
