epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.959,1.18151,3.2005,1.06902,0.0034,0.92308,0.03383,0.01978,0.89579,3.81015,0.89655,0.00065,0.00065,0.00065
2,368.348,1.14068,2.17401,1.04521,0.41365,0.39797,0.29327,0.18259,1.20987,3.42788,1.06105,0.00118632,0.00118632,0.00118632
3,549.653,1.18116,1.84136,1.073,0.09511,0.44444,0.08321,0.05447,1.13505,5.91215,1.08924,0.00159063,0.00159063,0.00159063
4,728.697,1.12488,1.61877,1.04234,0.82316,0.80342,0.83435,0.59697,0.95782,2.27021,0.95272,0.001406,0.001406,0.001406
5,906.974,1.02878,1.33293,1.00738,0.91084,0.87319,0.92624,0.68743,0.93469,1.37126,0.94296,0.001208,0.001208,0.001208
6,1085.6,1.01358,1.21905,1.01203,0.94902,0.88889,0.93973,0.71518,0.91155,1.14984,0.90211,0.00101,0.00101,0.00101
7,1265.07,0.97053,1.08475,0.98807,0.95504,0.90783,0.96361,0.7656,0.75056,0.89938,0.87328,0.000812,0.000812,0.000812
8,1443.54,0.92991,0.99747,0.9559,0.95074,0.91453,0.96657,0.78121,0.72368,0.85021,0.86014,0.000614,0.000614,0.000614
9,1622.34,0.84449,0.89173,0.94602,0.97321,0.93148,0.97038,0.79674,0.68583,0.76369,0.85238,0.000416,0.000416,0.000416
10,1800.86,0.80397,0.8565,0.92026,0.98173,0.91858,0.98232,0.82241,0.60656,0.71407,0.83835,0.000218,0.000218,0.000218
